player_id,tournament_id,finish_numeric,true_pos,top_ten,mid_band,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,adj_pos
10363,401353224,64.0,64.0,0,0,-0.94,0.61,-0.61,0.05,0.04,-0.9,0.9130434782608695
7083,401353224,53.0,53.0,0,0,-1.06,0.1,0.75,-0.19,0.66,-0.4,0.7536231884057971
8906,401353224,18.0,18.0,0,1,0.65,0.61,-0.19,0.52,0.95,1.6,0.2463768115942029
676,401353224,60.0,60.0,0,0,0.1,-0.41,-0.64,0.29,-0.76,-0.65,0.855072463768116
5962,401353224,51.0,51.0,0,0,-0.02,0.64,0.1,-0.87,-0.13,-0.15,0.7246376811594203
10343,401353224,48.0,48.0,0,0,0.67,0.87,-1.14,-0.3,-0.57,0.1,0.6811594202898551
1059,401353224,26.0,26.0,0,1,0.68,0.52,0.31,-0.17,0.67,1.35,0.36231884057971014
8973,401353224,5.0,5.0,1,0,1.09,0.67,0.73,0.11,1.51,2.6,0.057971014492753624
6931,401353224,37.0,37.0,0,0,0.34,0.87,0.46,-1.07,0.26,0.6,0.5217391304347826
257,401353224,45.0,45.0,0,0,0.86,0.34,-0.35,-0.51,-0.51,0.35,0.6376811594202898
2571,401353224,37.0,37.0,0,0,-0.44,0.61,0.46,-0.03,1.04,0.6,0.5217391304347826
6954,401353224,37.0,37.0,0,0,0.1,-0.24,0.63,0.11,0.5,0.6,0.5217391304347826
9931,401353224,13.0,13.0,0,1,-0.53,0.42,1.12,0.84,2.38,1.85,0.17391304347826086
6007,401353224,3.0,3.0,1,0,1.09,0.26,0.79,0.7,1.76,2.85,0.028985507246376812
707,401353224,26.0,26.0,0,1,0.3,0.8,0.69,-0.45,1.05,1.35,0.36231884057971014
5579,401353224,53.0,53.0,0,0,-0.48,0.85,-0.64,-0.13,0.08,-0.4,0.7536231884057971
3702,401353224,64.0,64.0,0,0,-0.8,-0.28,0.01,0.16,-0.1,-0.9,0.9130434782608695
809,401353224,70.0,70.0,0,0,-0.73,-0.61,-0.54,-0.78,-1.92,-2.65,1.0
11382,401353224,10.0,10.0,1,0,0.38,0.15,0.91,0.66,1.72,2.1,0.13043478260869565
7081,401353224,13.0,13.0,0,1,0.35,0.94,0.1,0.46,1.49,1.85,0.17391304347826086
4587,401353224,32.0,32.0,0,0,0.18,0.5,0.32,-0.15,0.67,0.85,0.4492753623188406
8961,401353224,45.0,45.0,0,0,0.81,-0.52,0.0,0.06,-0.46,0.35,0.6376811594202898
10980,401353224,5.0,5.0,1,0,0.06,0.4,1.48,0.65,2.54,2.6,0.057971014492753624
3970,401353224,53.0,53.0,0,0,0.0,0.17,-0.55,-0.03,-0.4,-0.4,0.7536231884057971
4364873,401353224,51.0,51.0,0,0,1.46,-1.49,-0.22,0.1,-1.61,-0.15,0.7246376811594203
11119,401353224,37.0,37.0,0,0,0.03,1.07,0.04,-0.54,0.57,0.6,0.5217391304347826
9877,401353224,5.0,5.0,1,0,0.37,-0.13,1.19,1.16,2.23,2.6,0.057971014492753624
10140,401353224,18.0,18.0,0,1,-0.35,0.7,1.88,-0.63,1.95,1.6,0.2463768115942029
9261,401353226,9.0,9.0,1,0,0.97,-0.22,1.15,0.68,1.61,2.58,0.1038961038961039
5548,401353226,71.0,71.0,0,0,-0.01,0.4,-0.08,-0.98,-0.66,-0.67,0.9090909090909091
10372,401353226,41.0,41.0,0,0,1.15,-0.4,0.66,-0.34,-0.07,1.08,0.5194805194805194
10577,401353226,23.0,23.0,0,1,1.22,-0.17,0.8,-0.02,0.61,1.83,0.2857142857142857
1225,401353226,34.0,34.0,0,0,0.04,0.55,1.27,-0.53,1.29,1.33,0.42857142857142855
1651,401353226,68.0,68.0,0,0,0.01,0.86,-0.62,-0.42,-0.18,-0.17,0.8701298701298701
6011,401353226,69.0,69.0,0,0,0.96,-0.71,-0.83,0.15,-1.39,-0.42,0.8831168831168831
6798,401353226,55.0,55.0,0,0,1.33,-0.22,-0.53,-0.25,-1.0,0.33,0.7012987012987013
3596,401353226,9.0,9.0,1,0,-0.06,0.29,1.85,0.49,2.64,2.58,0.1038961038961039
780,401353226,30.0,30.0,0,1,-0.34,0.29,1.24,0.39,1.91,1.58,0.37662337662337664
4317,401353226,30.0,30.0,0,1,-0.15,0.35,1.12,0.26,1.73,1.58,0.37662337662337664
10863,401353226,48.0,48.0,0,0,0.43,0.52,0.12,-0.24,0.4,0.83,0.6103896103896104
3449,401353226,5.0,5.0,1,0,0.39,1.25,1.01,0.42,2.69,3.08,0.05194805194805195
10592,401353226,55.0,55.0,0,0,-0.61,0.31,0.27,0.37,0.94,0.33,0.7012987012987013
1097,401353226,60.0,60.0,0,0,0.77,0.0,-0.38,-0.31,-0.69,0.08,0.7662337662337663
9131,401353226,13.0,13.0,0,1,-0.94,0.16,2.42,0.7,3.27,2.33,0.15584415584415584
